State/Territory,Sector,Sex,School Level,Function,Staff
Australian Capital Territory,Catholic,Female,Primary schools,Administrative & clerical staff (Incl. teacher aides & assistants),85.7
Australian Capital Territory,Catholic,Female,Primary schools,"Building operations, general maintenance and other staff",8.7
Australian Capital Territory,Catholic,Female,Primary schools,Non-teaching staff,96.5
Australian Capital Territory,Catholic,Female,Primary schools,Specialist support staff,2.1
Australian Capital Territory,Catholic,Female,Primary schools,Teaching staff,375
Australian Capital Territory,Catholic,Female,Secondary schools,Administrative & clerical staff (Incl. teacher aides & assistants),146.7
Australian Capital Territory,Catholic,Female,Secondary schools,"Building operations, general maintenance and other staff",7.2
Australian Capital Territory,Catholic,Female,Secondary schools,Non-teaching staff,160.5
Australian Capital Territory,Catholic,Female,Secondary schools,Specialist support staff,6.6
Australian Capital Territory,Catholic,Female,Secondary schools,Teaching staff,347.7
Australian Capital Territory,Catholic,Male,Primary schools,Administrative & clerical staff (Incl. teacher aides & assistants),1.8
Australian Capital Territory,Catholic,Male,Primary schools,"Building operations, general maintenance and other staff",12.1
Australian Capital Territory,Catholic,Male,Primary schools,Non-teaching staff,13.9
Australian Capital Territory,Catholic,Male,Primary schools,Specialist support staff,0
Australian Capital Territory,Catholic,Male,Primary schools,Teaching staff,99.5
Australian Capital Territory,Catholic,Male,Secondary schools,Administrative & clerical staff (Incl. teacher aides & assistants),30.8
Australian Capital Territory,Catholic,Male,Secondary schools,"Building operations, general maintenance and other staff",27.6
Australian Capital Territory,Catholic,Male,Secondary schools,Non-teaching staff,59.5
Australian Capital Territory,Catholic,Male,Secondary schools,Specialist support staff,1.1
Australian Capital Territory,Catholic,Male,Secondary schools,Teaching staff,259.4
Australian Capital Territory,Government,Female,Primary schools,Administrative & clerical staff (Incl. teacher aides & assistants),348.7
Australian Capital Territory,Government,Female,Primary schools,"Building operations, general maintenance and other staff",1
Australian Capital Territory,Government,Female,Primary schools,Non-teaching staff,420.6
Australian Capital Territory,Government,Female,Primary schools,Specialist support staff,70.9
Australian Capital Territory,Government,Female,Primary schools,Teaching staff,1106.2
Australian Capital Territory,Government,Female,Secondary schools,Administrative & clerical staff (Incl. teacher aides & assistants),297.3
Australian Capital Territory,Government,Female,Secondary schools,"Building operations, general maintenance and other staff",0
Australian Capital Territory,Government,Female,Secondary schools,Non-teaching staff,344.5
Australian Capital Territory,Government,Female,Secondary schools,Specialist support staff,47.2
Australian Capital Territory,Government,Female,Secondary schools,Teaching staff,1053.8
Australian Capital Territory,Government,Male,Primary schools,Administrative & clerical staff (Incl. teacher aides & assistants),24.4
Australian Capital Territory,Government,Male,Primary schools,"Building operations, general maintenance and other staff",59.5
Australian Capital Territory,Government,Male,Primary schools,Non-teaching staff,103.2
Australian Capital Territory,Government,Male,Primary schools,Specialist support staff,19.3
Australian Capital Territory,Government,Male,Primary schools,Teaching staff,250.8
Australian Capital Territory,Government,Male,Secondary schools,Administrative & clerical staff (Incl. teacher aides & assistants),56.8
Australian Capital Territory,Government,Male,Secondary schools,"Building operations, general maintenance and other staff",27
Australian Capital Territory,Government,Male,Secondary schools,Non-teaching staff,96.6
Australian Capital Territory,Government,Male,Secondary schools,Specialist support staff,12.8
Australian Capital Territory,Government,Male,Secondary schools,Teaching staff,285.8
Australian Capital Territory,Independent,Female,Primary schools,Administrative & clerical staff (Incl. teacher aides & assistants),61.6
Australian Capital Territory,Independent,Female,Primary schools,"Building operations, general maintenance and other staff",3.4
Australian Capital Territory,Independent,Female,Primary schools,Non-teaching staff,74.5
Australian Capital Territory,Independent,Female,Primary schools,Specialist support staff,9.5
Australian Capital Territory,Independent,Female,Primary schools,Teaching staff,199.1
Australian Capital Territory,Independent,Female,Secondary schools,Administrative & clerical staff (Incl. teacher aides & assistants),93.1
Australian Capital Territory,Independent,Female,Secondary schools,"Building operations, general maintenance and other staff",6.8
Australian Capital Territory,Independent,Female,Secondary schools,Non-teaching staff,106.4
Australian Capital Territory,Independent,Female,Secondary schools,Specialist support staff,6.5
Australian Capital Territory,Independent,Female,Secondary schools,Teaching staff,213.9
Australian Capital Territory,Independent,Male,Primary schools,Administrative & clerical staff (Incl. teacher aides & assistants),6.2
Australian Capital Territory,Independent,Male,Primary schools,"Building operations, general maintenance and other staff",13.9
Australian Capital Territory,Independent,Male,Primary schools,Non-teaching staff,21
Australian Capital Territory,Independent,Male,Primary schools,Specialist support staff,0.9
Australian Capital Territory,Independent,Male,Primary schools,Teaching staff,57.8
Australian Capital Territory,Independent,Male,Secondary schools,Administrative & clerical staff (Incl. teacher aides & assistants),19.4
Australian Capital Territory,Independent,Male,Secondary schools,"Building operations, general maintenance and other staff",25.9
Australian Capital Territory,Independent,Male,Secondary schools,Non-teaching staff,55.6
Australian Capital Territory,Independent,Male,Secondary schools,Specialist support staff,10.3
Australian Capital Territory,Independent,Male,Secondary schools,Teaching staff,187.4
New South Wales,Catholic,Female,Primary schools,Administrative & clerical staff (Incl. teacher aides & assistants),1439.8
New South Wales,Catholic,Female,Primary schools,"Building operations, general maintenance and other staff",78.8
New South Wales,Catholic,Female,Primary schools,Non-teaching staff,1587.6
New South Wales,Catholic,Female,Primary schools,Specialist support staff,69
New South Wales,Catholic,Female,Primary schools,Teaching staff,5726.4
New South Wales,Catholic,Female,Secondary schools,Administrative & clerical staff (Incl. teacher aides & assistants),1776.6
New South Wales,Catholic,Female,Secondary schools,"Building operations, general maintenance and other staff",159.5
New South Wales,Catholic,Female,Secondary schools,Non-teaching staff,2075.1
New South Wales,Catholic,Female,Secondary schools,Specialist support staff,139
New South Wales,Catholic,Female,Secondary schools,Teaching staff,5156.8
New South Wales,Catholic,Male,Primary schools,Administrative & clerical staff (Incl. teacher aides & assistants),42.9
New South Wales,Catholic,Male,Primary schools,"Building operations, general maintenance and other staff",86.5
New South Wales,Catholic,Male,Primary schools,Non-teaching staff,136.4
New South Wales,Catholic,Male,Primary schools,Specialist support staff,7
New South Wales,Catholic,Male,Primary schools,Teaching staff,1050
New South Wales,Catholic,Male,Secondary schools,Administrative & clerical staff (Incl. teacher aides & assistants),311.2
New South Wales,Catholic,Male,Secondary schools,"Building operations, general maintenance and other staff",303.1
New South Wales,Catholic,Male,Secondary schools,Non-teaching staff,685.4
New South Wales,Catholic,Male,Secondary schools,Specialist support staff,71.1
New South Wales,Catholic,Male,Secondary schools,Teaching staff,3714.9
New South Wales,Government,Female,Primary schools,Administrative & clerical staff (Incl. teacher aides & assistants),7301.3
New South Wales,Government,Female,Primary schools,"Building operations, general maintenance and other staff",28.2
New South Wales,Government,Female,Primary schools,Non-teaching staff,7794.6
New South Wales,Government,Female,Primary schools,Specialist support staff,465.1
New South Wales,Government,Female,Primary schools,Teaching staff,22331.1
New South Wales,Government,Female,Secondary schools,Administrative & clerical staff (Incl. teacher aides & assistants),5261.1
New South Wales,Government,Female,Secondary schools,"Building operations, general maintenance and other staff",17.1
New South Wales,Government,Female,Secondary schools,Non-teaching staff,5787.5
