Full-time/part-time status,State/territory,School sector,Sex,School level,Indigenous status,Students
Full-time equivalent,Australian Capital Territory,Catholic,Female,Primary,Indigenous,76
Full-time equivalent,Australian Capital Territory,Catholic,Female,Primary,Non-Indigenous,4305
Full-time equivalent,Australian Capital Territory,Catholic,Female,Secondary,Indigenous,81
Full-time equivalent,Australian Capital Territory,Catholic,Female,Secondary,Non-Indigenous,4227.9
Full-time equivalent,Australian Capital Territory,Catholic,Male,Primary,Indigenous,78
Full-time equivalent,Australian Capital Territory,Catholic,Male,Primary,Non-Indigenous,4605
Full-time equivalent,Australian Capital Territory,Catholic,Male,Secondary,Indigenous,74
Full-time equivalent,Australian Capital Territory,Catholic,Male,Secondary,Non-Indigenous,4348
Full-time equivalent,Australian Capital Territory,Government,Female,Primary,Indigenous,333
Full-time equivalent,Australian Capital Territory,Government,Female,Primary,Non-Indigenous,9624.3
Full-time equivalent,Australian Capital Territory,Government,Female,Secondary,Indigenous,241.7
Full-time equivalent,Australian Capital Territory,Government,Female,Secondary,Non-Indigenous,7628
Full-time equivalent,Australian Capital Territory,Government,Male,Primary,Indigenous,383.5
Full-time equivalent,Australian Capital Territory,Government,Male,Primary,Non-Indigenous,10245.7
Full-time equivalent,Australian Capital Territory,Government,Male,Secondary,Indigenous,246.4
Full-time equivalent,Australian Capital Territory,Government,Male,Secondary,Non-Indigenous,7680.6
Full-time equivalent,Australian Capital Territory,Independent,Female,Primary,Indigenous,15
Full-time equivalent,Australian Capital Territory,Independent,Female,Primary,Non-Indigenous,2175.7
Full-time equivalent,Australian Capital Territory,Independent,Female,Secondary,Indigenous,17
Full-time equivalent,Australian Capital Territory,Independent,Female,Secondary,Non-Indigenous,2371
Full-time equivalent,Australian Capital Territory,Independent,Male,Primary,Indigenous,17
Full-time equivalent,Australian Capital Territory,Independent,Male,Primary,Non-Indigenous,2133.2
Full-time equivalent,Australian Capital Territory,Independent,Male,Secondary,Indigenous,13.8
Full-time equivalent,Australian Capital Territory,Independent,Male,Secondary,Non-Indigenous,2411.9
Full-time equivalent,New South Wales,Catholic,Female,Primary,Indigenous,1888.9
Full-time equivalent,New South Wales,Catholic,Female,Primary,Non-Indigenous,61771.8
Full-time equivalent,New South Wales,Catholic,Female,Secondary,Indigenous,1351
Full-time equivalent,New South Wales,Catholic,Female,Secondary,Non-Indigenous,59512.2
Full-time equivalent,New South Wales,Catholic,Male,Primary,Indigenous,1818
Full-time equivalent,New South Wales,Catholic,Male,Primary,Non-Indigenous,63284
Full-time equivalent,New South Wales,Catholic,Male,Secondary,Indigenous,1340
Full-time equivalent,New South Wales,Catholic,Male,Secondary,Non-Indigenous,60403.9
Full-time equivalent,New South Wales,Government,Female,Primary,Indigenous,14229
Full-time equivalent,New South Wales,Government,Female,Primary,Non-Indigenous,202902
Full-time equivalent,New South Wales,Government,Female,Secondary,Indigenous,9701.2
Full-time equivalent,New South Wales,Government,Female,Secondary,Non-Indigenous,140918.5
Full-time equivalent,New South Wales,Government,Male,Primary,Indigenous,15183
Full-time equivalent,New South Wales,Government,Male,Primary,Non-Indigenous,216445
Full-time equivalent,New South Wales,Government,Male,Secondary,Indigenous,10195.2
Full-time equivalent,New South Wales,Government,Male,Secondary,Non-Indigenous,145771.8
Full-time equivalent,New South Wales,Independent,Female,Primary,Indigenous,493
Full-time equivalent,New South Wales,Independent,Female,Primary,Non-Indigenous,33075.7
Full-time equivalent,New South Wales,Independent,Female,Secondary,Indigenous,639.3
Full-time equivalent,New South Wales,Independent,Female,Secondary,Non-Indigenous,37758
Full-time equivalent,New South Wales,Independent,Male,Primary,Indigenous,534
Full-time equivalent,New South Wales,Independent,Male,Primary,Non-Indigenous,35531.6
Full-time equivalent,New South Wales,Independent,Male,Secondary,Indigenous,548.6
Full-time equivalent,New South Wales,Independent,Male,Secondary,Non-Indigenous,38863.3
Full-time equivalent,Northern Territory,Catholic,Female,Primary,Indigenous,517
Full-time equivalent,Northern Territory,Catholic,Female,Primary,Non-Indigenous,857
Full-time equivalent,Northern Territory,Catholic,Female,Secondary,Indigenous,376
Full-time equivalent,Northern Territory,Catholic,Female,Secondary,Non-Indigenous,632
Full-time equivalent,Northern Territory,Catholic,Male,Primary,Indigenous,543
Full-time equivalent,Northern Territory,Catholic,Male,Primary,Non-Indigenous,883
Full-time equivalent,Northern Territory,Catholic,Male,Secondary,Indigenous,351.9
Full-time equivalent,Northern Territory,Catholic,Male,Secondary,Non-Indigenous,653
Full-time equivalent,Northern Territory,Government,Female,Primary,Indigenous,4311.4
Full-time equivalent,Northern Territory,Government,Female,Primary,Non-Indigenous,4887.2
Full-time equivalent,Northern Territory,Government,Female,Secondary,Indigenous,2046.9
Full-time equivalent,Northern Territory,Government,Female,Secondary,Non-Indigenous,3004.3
Full-time equivalent,Northern Territory,Government,Male,Primary,Indigenous,4521.2
Full-time equivalent,Northern Territory,Government,Male,Primary,Non-Indigenous,5135
Full-time equivalent,Northern Territory,Government,Male,Secondary,Indigenous,2281.1
Full-time equivalent,Northern Territory,Government,Male,Secondary,Non-Indigenous,3253.8
Full-time equivalent,Northern Territory,Independent,Female,Primary,Indigenous,165
Full-time equivalent,Northern Territory,Independent,Female,Primary,Non-Indigenous,1125
Full-time equivalent,Northern Territory,Independent,Female,Secondary,Indigenous,523
Full-time equivalent,Northern Territory,Independent,Female,Secondary,Non-Indigenous,1318.6
Full-time equivalent,Northern Territory,Independent,Male,Primary,Indigenous,184
Full-time equivalent,Northern Territory,Independent,Male,Primary,Non-Indigenous,1115
Full-time equivalent,Northern Territory,Independent,Male,Secondary,Indigenous,543
Full-time equivalent,Northern Territory,Independent,Male,Secondary,Non-Indigenous,1258.1
Full-time equivalent,Queensland,Catholic,Female,Primary,Indigenous,1372
Full-time equivalent,Queensland,Catholic,Female,Primary,Non-Indigenous,39559.7
Full-time equivalent,Queensland,Catholic,Female,Secondary,Indigenous,1251
Full-time equivalent,Queensland,Catholic,Female,Secondary,Non-Indigenous,27126.5
Full-time equivalent,Queensland,Catholic,Male,Primary,Indigenous,1367
Full-time equivalent,Queensland,Catholic,Male,Primary,Non-Indigenous,41247.2
Full-time equivalent,Queensland,Catholic,Male,Secondary,Indigenous,1283
Full-time equivalent,Queensland,Catholic,Male,Secondary,Non-Indigenous,27841.7
Full-time equivalent,Queensland,Government,Female,Primary,Indigenous,15158.5
Full-time equivalent,Queensland,Government,Female,Primary,Non-Indigenous,143874.2
Full-time equivalent,Queensland,Government,Female,Secondary,Indigenous,7173.6
Full-time equivalent,Queensland,Government,Female,Secondary,Non-Indigenous,80224.7
Full-time equivalent,Queensland,Government,Male,Primary,Indigenous,15965.9
Full-time equivalent,Queensland,Government,Male,Primary,Non-Indigenous,156162
Full-time equivalent,Queensland,Government,Male,Secondary,Indigenous,7166.1
Full-time equivalent,Queensland,Government,Male,Secondary,Non-Indigenous,83946.2
Full-time equivalent,Queensland,Independent,Female,Primary,Indigenous,756
Full-time equivalent,Queensland,Independent,Female,Primary,Non-Indigenous,28351.5
Full-time equivalent,Queensland,Independent,Female,Secondary,Indigenous,958.4
Full-time equivalent,Queensland,Independent,Female,Secondary,Non-Indigenous,26899.7
